id;amount;name;brand;volume;abv
1;37454;Directives application Home Loan Account;Dam;9997;5
2;45924;seamless Metal deposit;Producer;83244;94
3;21233;Chips;Money Market Account;61165;53
4;706;Home Namibia;Steel zero administration;36636;23
5;45606;bluetooth;syndicate;98323;59
6;46676;HDD;Table Small Frozen Sausages Planner;80839;38
7;30461;Intelligent;Monitored Bahamian Dollar Investment Account;83319;3
8;17336;incentivize Tuna copy;Costa Rica Mayotte;18485;3
9;96958;connect Markets Chief;capacitor archive;57044;19
10;52083;Tactics;scale interactive generating;35675;97
